# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
1000000 161
  158 3148.46 650.492 302.068
  159 3168.46 658.453 302.33
  160 3188.46 664.848 303.154
  161 3208.46 322.248 303.402
3000000 161
  1 8.45849 666.651 302.554
  2 28.4585 657.3 302.437
  3 48.4585 649.869 303.124
  4 68.4585 648.253 303.12
  5 88.4585 649.998 303.284
  6 108.458 658.447 303.503
  7 128.458 666.479 303.769
  8 148.458 663.751 304.236
  9 168.458 653.964 304.695
  10 188.458 649.202 305.193
  11 208.458 648.33 304.768
  12 228.458 652.949 304.934
  13 248.458 662.871 305.088
  14 268.458 667.263 305.214
  15 288.458 658.561 305.666
  16 308.458 651.533 306.723
  17 328.458 648.559 306.483
  18 348.458 649.063 306.915
  19 368.458 656.212 307.192
  20 388.458 667.05 307.388
  21 408.458 664.62 307.156
  22 428.458 654.796 307.585
  23 448.458 650.069 308.835
  24 468.458 648.361 308.922
  25 488.458 650.605 309.183
  26 508.458 658.954 309.673
  27 528.458 668.175 310.545
  28 548.458 662.02 310.54
  29 568.458 653.124 310.256
  30 588.458 648.94 310.46
  31 608.458 648.829 311.277
  32 628.458 653.87 311.898
  33 648.458 663.546 312.437
  34 668.458 665.716 313.93
  35 688.458 658.437 314.456
  36 708.458 651.304 314.737
  37 728.458 648.458 316.081
  38 748.458 650.815 317.28
  39 768.458 657.249 319.342
  40 788.458 664.577 323.822
  41 808.458 663.18 330.056
  42 828.458 656.072 322.51
  43 848.458 649.91 319.691
  44 868.458 648.47 317.989
  45 888.458 651.99 316.893
  46 908.458 659.858 316.132
  47 928.458 666.391 314.7
  48 948.458 660.805 314.077
  49 968.458 653.434 312.778
  50 988.458 649.106 312.071
  51 1008.46 649.208 312.112
  52 1028.46 654.803 311.499
  53 1048.46 663.423 310.331
  54 1068.46 664.302 310.496
  55 1088.46 658.283 309.381
  56 1108.46 651.64 309.483
  57 1128.46 648.46 309.086
  58 1148.46 650.499 308.722
  59 1168.46 657.211 309.123
  60 1188.46 664.34 308.716
  61 1208.46 664.357 308.06
  62 1228.46 655.667 307.679
  63 1248.46 649.764 307.706
  64 1268.46 648.483 307.047
  65 1288.46 651.815 306.88
  66 1308.46 659.21 306.876
  67 1328.46 666.344 306.055
  68 1348.46 662.475 305.989
  69 1368.46 652.922 305.94
  70 1388.46 648.784 305.641
  71 1408.46 649.064 304.929
  72 1428.46 654.833 304.933
