# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
500000 41
  11 209.416 686.176 313.676
  12 229.416 663.824 310.669
  13 249.416 702 307.921
  14 269.416 663.234 306.557
  15 289.416 686.766 305.534
  16 309.416 702 304.271
  17 329.416 648.633 303.726
  18 349.416 701.368 302.443
  19 369.416 701.625 301.229
  20 389.416 648.439 299.858
  21 409.416 701.937 298.896
  22 429.416 695.964 297.93
  23 449.416 654.038 297.19
  24 469.416 701.998 295.943
  25 489.416 675.349 294.941
  26 509.416 674.651 294.892
  27 529.416 701.999 293.622
  28 549.416 653.011 291.637
  29 569.416 696.99 289.696
  30 589.416 701.757 285.686
  31 609.416 648.74 284.862
  32 629.416 701.504 289.55
  33 649.416 700.558 291.627
  34 669.416 649.45 292.251
  35 689.416 701.992 292.798
  36 709.416 688.634 295.223
  37 729.416 661.366 295.834
  38 749.416 702 296.107
  39 769.416 657.021 296.472
  40 789.416 692.979 297.01
  41 809.416 132.476 297.495
4500000 41
  1 9.41633 676.635 300.205
  2 29.4163 701.999 300.62
  3 49.4163 654.022 300.868
  4 69.4163 695.978 302.603
  5 89.4163 701.961 304.388
  6 109.416 648.302 305.348
  7 129.416 701.737 307.299
  8 149.416 699.377 308.605
  9 169.416 650.628 309.555
  10 189.416 701.994 312.523
  11 209.416 686.442 313.236
  12 229.416 663.559 308.757
  13 249.416 702 306.857
  14 269.416 663.702 305.247
  15 289.416 686.298 304.709
  16 309.416 702 302.723
  17 329.416 648.668 302.047
  18 349.416 701.332 301.265
  19 369.416 701.715 301.039
  20 389.416 648.32 300.268
  21 409.416 701.966 299.399
  22 429.416 696.302 298.623
  23 449.416 653.699 297.502
  24 469.416 701.999 296.322
  25 489.416 675.15 295.684
  26 509.416 674.85 294.598
  27 529.416 701.998 292.875
  28 549.416 652.166 291.491
  29 569.416 697.836 289.191
  30 589.416 701.754 284.803
  31 609.416 648.676 284.918
  32 629.416 701.57 288.897
  33 649.416 700.251 291.061
  34 669.416 649.765 292.648
  35 689.416 701.985 294.116
  36 709.416 688.317 295.171
  37 729.416 661.683 296.483
  38 749.416 702 297.45
  39 769.416 657.677 298.536
  40 789.416 692.323 298.728
  41 809.416 133.365 299.783
5000000 41
  1 9.41633 677.672 299.292
  2 29.4163 701.998 301.508
  3 49.4163 653.281 302.867
  4 69.4163 696.72 303.474
  5 89.4163 701.982 303.629
  6 109.416 648.164 304.144
  7 129.416 701.854 305.584
  8 149.416 699.687 307.183
  9 169.416 650.317 308.766
  10 189.416 701.997 312.39
  11 209.416 685.884 313.332
  12 229.416 664.116 309.748
  13 249.416 702 307.892
  14 269.416 665.4 306.706
  15 289.416 684.6 305.627
  16 309.416 701.998 304.713
  17 329.416 649.349 303.851
  18 349.416 700.654 302.466
  19 369.416 701.521 301.32
  20 389.416 648.551 299.848
  21 409.416 701.928 298.861
  22 429.416 696.76 297.582
  23 449.416 653.241 296.408
  24 469.416 701.999 295.56
  25 489.416 675.784 295.065
  26 509.416 674.216 294.659
  27 529.416 702 293.443
  28 549.416 651.873 291.782
  29 569.416 698.127 290.279
  30 589.416 701.82 285.511
  31 609.416 648.591 283.954
  32 629.416 701.589 288.627
  33 649.416 699.789 290.721
  34 669.416 650.224 292.45
  35 689.416 701.986 293.407
  36 709.416 686.424 294.878
  37 729.416 663.576 296.353
  38 749.416 702 297.065
  39 769.416 658.418 297.535
  40 789.416 691.582 298.568
  41 809.416 132.328 298.259
